t y1 y2 y3 y4 y5 y6 y7 y8 y9
19019.01901901902 0.05923 0.17082 0.21576 0.22816 0.23265 0.23472 0.23582 0.23648 0.23691
19269.26926926927 0.0605 0.17396 0.21725 0.22887 0.23306 0.23497 0.23599 0.23661 0.237
19519.51951951952 0.06181 0.17704 0.21865 0.22954 0.23343 0.23521 0.23615 0.23672 0.23709
19769.76976976977 0.06317 0.18005 0.21996 0.23016 0.23378 0.23542 0.2363 0.23683 0.23716
20020.02002002002 0.06458 0.18299 0.2212 0.23074 0.2341 0.23562 0.23644 0.23692 0.23723
20270.27027027027 0.06604 0.18585 0.22236 0.23128 0.2344 0.23581 0.23656 0.23701 0.2373
20520.52052052052 0.06756 0.18863 0.22346 0.23178 0.23468 0.23598 0.23668 0.23709 0.23736
20770.77077077077 0.06913 0.19132 0.22448 0.23224 0.23493 0.23614 0.23679 0.23717 0.23742
21021.02102102102 0.07076 0.19392 0.22544 0.23268 0.23517 0.23629 0.23689 0.23724 0.23747
21271.27127127127 0.07245 0.19642 0.22633 0.23308 0.23539 0.23643 0.23698 0.23731 0.23752
21521.521521521525 0.0742 0.19883 0.22717 0.23345 0.23559 0.23655 0.23706 0.23737 0.23756
21771.771771771775 0.07601 0.20114 0.22795 0.2338 0.23578 0.23667 0.23714 0.23742 0.2376
22022.022022022025 0.07789 0.20335 0.22868 0.23412 0.23596 0.23678 0.23722 0.23747 0.23764
22272.272272272276 0.07983 0.20547 0.22936 0.23441 0.23612 0.23688 0.23728 0.23752 0.23768
22522.522522522526 0.08184 0.20748 0.23 0.23469 0.23627 0.23697 0.23735 0.23757 0.23771
22772.772772772776 0.08392 0.2094 0.23059 0.23495 0.23641 0.23706 0.2374 0.23761 0.23774
23023.023023023026 0.08607 0.21123 0.23113 0.23518 0.23654 0.23714 0.23746 0.23764 0.23777
23273.273273273277 0.08829 0.21296 0.23165 0.2354 0.23665 0.23721 0.2375 0.23768 0.23779
23523.523523523527 0.09059 0.21459 0.23212 0.23561 0.23676 0.23728 0.23755 0.23771 0.23781
23773.773773773777 0.09296 0.21614 0.23256 0.23579 0.23687 0.23734 0.23759 0.23774 0.23784
24024.024024024027 0.0954 0.2176 0.23297 0.23597 0.23696 0.2374 0.23763 0.23777 0.23786
24274.274274274278 0.09791 0.21898 0.23335 0.23613 0.23705 0.23745 0.23767 0.23779 0.23787
24524.524524524528 0.1005 0.22028 0.2337 0.23628 0.23713 0.2375 0.2377 0.23782 0.23789
24774.774774774778 0.10316 0.2215 0.23403 0.23642 0.2372 0.23755 0.23773 0.23784 0.23791
25025.02502502503 0.10589 0.22264 0.23434 0.23654 0.23727 0.23759 0.23776 0.23786 0.23792
25275.27527527528 0.1087 0.22372 0.23462 0.23666 0.23733 0.23763 0.23778 0.23788 0.23794
25525.52552552553 0.11157 0.22472 0.23488 0.23677 0.23739 0.23766 0.23781 0.23789 0.23795
25775.77577577578 0.11451 0.22567 0.23512 0.23687 0.23744 0.2377 0.23783 0.23791 0.23796
26026.02602602603 0.11751 0.22655 0.23534 0.23696 0.23749 0.23773 0.23785 0.23792 0.23797
26276.27627627628 0.12057 0.22737 0.23555 0.23705 0.23754 0.23776 0.23787 0.23794 0.23798
26526.52652652653 0.12369 0.22814 0.23574 0.23713 0.23758 0.23778 0.23789 0.23795 0.23799
26776.77677677678 0.12685 0.22886 0.23592 0.2372 0.23762 0.23781 0.2379 0.23796 0.238
27027.02702702703 0.13007 0.22952 0.23609 0.23727 0.23766 0.23783 0.23792 0.23797 0.23801
27277.27727727728 0.13332 0.23015 0.23624 0.23734 0.23769 0.23785 0.23793 0.23798 0.23801
27527.52752752753 0.13661 0.23073 0.23638 0.23739 0.23772 0.23787 0.23795 0.23799 0.23802
27777.77777777778 0.13992 0.23127 0.23651 0.23745 0.23775 0.23789 0.23796 0.238 0.23803
28028.02802802803 0.14326 0.23177 0.23663 0.2375 0.23778 0.2379 0.23797 0.23801 0.23803
28278.27827827828 0.14661 0.23223 0.23674 0.23754 0.2378 0.23792 0.23798 0.23801 0.23804
28528.52852852853 0.14996 0.23267 0.23684 0.23759 0.23783 0.23793 0.23799 0.23802 0.23804
28778.778778778782 0.15331 0.23307 0.23694 0.23762 0.23785 0.23794 0.238 0.23803 0.23805
29029.029029029032 0.15665 0.23344 0.23703 0.23766 0.23787 0.23796 0.238 0.23803 0.23805
