,Unnamed: 0,kappa,xi,numbr_roots
100,0,0.1,1.1,2
101,0,0.1,1.2,2
102,0,0.1,1.3,2
103,0,0.1,1.4,2
104,0,0.1,1.5,2
105,0,0.1,1.6,3
106,0,0.1,1.7,3
107,0,0.1,1.8,3
108,0,0.1,1.9,3
109,0,0.1,2.0,3
110,0,0.1,2.1,3
111,0,0.1,2.2,3
112,0,0.1,2.3,3
113,0,0.1,2.4,3
114,0,0.1,2.5,3
115,0,0.1,2.6,3
116,0,0.1,2.7,3
117,0,0.1,2.8,3
118,0,0.1,2.9,3
119,0,0.1,3.0,3
120,0,0.22,0.1,2
121,0,0.22,0.2,2
122,0,0.22,0.3,2
123,0,0.22,0.4,2
124,0,0.22,0.5,2
125,0,0.22,0.6,2
126,0,0.22,0.7,2
127,0,0.22,0.8,2
128,0,0.22,0.9,2
129,0,0.22,1.0,2
130,0,0.22,1.1,2
131,0,0.22,1.2,2
132,0,0.22,1.3,2
133,0,0.22,1.4,2
134,0,0.22,1.5,2
135,0,0.22,1.6,3
136,0,0.22,1.7,3
137,0,0.22,1.8,3
138,0,0.22,1.9,3
139,0,0.22,2.0,3
140,0,0.22,2.1,3
141,0,0.22,2.2,3
142,0,0.22,2.3,3
143,0,0.22,2.4,3
144,0,0.22,2.5,3
145,0,0.22,2.6,3
146,0,0.22,2.7,3
147,0,0.22,2.8,3
148,0,0.22,2.9,3
149,0,0.22,3.0,3
150,0,0.26,0.1,2
151,0,0.26,0.2,2
152,0,0.26,0.3,2
153,0,0.26,0.4,2
154,0,0.26,0.5,2
155,0,0.26,0.6,2
156,0,0.26,0.7,2
157,0,0.26,0.8,2
158,0,0.26,0.9,2
159,0,0.26,1.0,2
160,0,0.26,1.1,2
161,0,0.26,1.2,2
162,0,0.26,1.3,2
163,0,0.26,1.4,2
164,0,0.26,1.5,2
165,0,0.26,1.6,3
166,0,0.26,1.7,3
167,0,0.26,1.8,3
168,0,0.26,1.9,3
169,0,0.26,2.0,3
170,0,0.26,2.1,3
171,0,0.26,2.2,3
172,0,0.26,2.3,3
173,0,0.26,2.4,3
174,0,0.26,2.5,3
175,0,0.26,2.6,3
176,0,0.26,2.7,3
177,0,0.26,2.8,3
178,0,0.26,2.9,3
